# Event Log Opened on 2019-03-26T14:26:46.539206
# Event Detection
# bandwidth = 10000000.000000 MHz
# vlen      =    512
#  N      MJD          second  micro.sec    Peak       RMS
0094 58568.602115837952 52022 808399.028   2.945355   0.998959
0095 58568.602116128452 52022 833498.218   2.988897   0.999695
0096 58568.602116401016 52022 857047.804   3.454143   1.000782
0097 58568.602116712776 52022 883983.888   3.249084   1.000876
0098 58568.602116895963 52022 899811.226   3.136406   1.002055
0099 58568.602117149465 52022 921713.768   2.895607   0.996041
0100 58568.602117385490 52022 942106.309   2.974236   1.001933
0101 58568.602117610848 52022 961577.261   3.117487   0.997868
0102 58568.602117908609 52022 987303.836   3.193474   0.999716
0103 58568.602118089904 52023   2967.727   3.041694   0.998567
0104 58568.602118378207 52023  27877.067   3.592168   1.003210
0105 58568.602118513285 52023  39547.820   3.064300   0.999643
0106 58568.602118793147 52023  63727.934   2.910609   1.000384
0107 58568.602119066680 52023  87361.129   3.065002   0.999624
0108 58568.602119338299 52023 110828.991   2.986109   1.004892
0109 58568.602119671319 52023 139601.969   3.027240   0.995785
0110 58568.602119794617 52023 150254.949   3.024973   1.002269
0111 58568.602120113253 52023 177785.100   3.264990   0.996356
0112 58568.602120314281 52023 195153.871   2.965430   1.001745
0113 58568.602120594551 52023 219369.189   2.926685   0.993589
0114 58568.602120817202 52023 238606.285   3.219945   0.999128
0115 58568.602121048047 52023 258551.233   2.936569   0.998571
0116 58568.602121364864 52023 285924.224   3.047145   1.000192
0117 58568.602121599666 52023 306211.154   3.138231   1.005185
0118 58568.602121855962 52023 328355.094   2.950226   0.998089
0119 58568.602122067561 52023 346637.283   3.125551   1.001522
0120 58568.602122360797 52023 371972.842   3.234515   1.000777
0121 58568.602122557109 52023 388934.252   3.111597   0.993861
0122 58568.602122784745 52023 408601.969   3.225187   0.997739
0123 58568.602123128672 52023 438317.282   3.038621   0.999894
0124 58568.602123263961 52023 450006.265   2.989965   0.999702
0125 58568.602123544268 52023 474224.727   3.193170   1.003232
0126 58568.602123777142 52023 494345.066   3.288538   0.999311
0127 58568.602124002166 52023 513787.100   3.027600   1.006919
0128 58568.602124295714 52023 539149.691   2.937655   0.998823
0129 58568.602124609570 52023 566266.824   2.915962   1.001589
0130 58568.602124893463 52023 590795.207   2.987886   1.001142
0131 58568.602125071564 52023 606183.124   3.236598   1.000561
0132 58568.602125354708 52023 630646.756   2.939308   1.000342
0133 58568.602125594545 52023 651368.706   2.875029   0.999622
0134 58568.602125985126 52023 685114.877   2.909722   0.999733
0135 58568.602126324135 52023 714405.228   2.806364   0.993930
0136 58568.602126499107 52023 729522.829   2.927629   0.997121
0137 58568.602126733509 52023 749775.183   2.879739   1.004128
0138 58568.602127027647 52023 775188.695   3.111163   1.000333
0139 58568.602127315222 52023 800035.170   2.895166   1.002759
0140 58568.602127536462 52023 819150.310   3.069433   1.003621
0141 58568.602127746250 52023 837275.966   2.960456   0.997090
0142 58568.602127949802 52023 854862.875   2.813321   0.999868
0143 58568.602128258324 52023 881519.213   2.974206   1.000209
0144 58568.602128465151 52023 899389.012   2.866242   1.001276
0145 58568.602128745508 52023 923611.874   2.973063   1.002295
0146 58568.602128972649 52023 943236.843   2.820468   1.000998
0147 58568.602129193903 52023 962353.240   2.858075   0.999318
0148 58568.602129449166 52023 984407.913   3.006723   1.000678
0149 58568.602129638588 52024    773.998   2.877612   0.998476
0150 58568.602129912710 52024  24458.113   2.855025   1.002400
0151 58568.602130140462 52024  44135.888   2.843839   0.997790
0152 58568.602130409985 52024  67422.701   2.840466   0.996370
0153 58568.602130677478 52024  90534.123   2.819504   1.005091
0154 58568.602130952568 52024 114301.847   2.882870   1.001717
0155 58568.602131175452 52024 133559.060   2.958338   0.995681
0156 58568.602131396678 52024 152672.943   2.900983   0.997240
0157 58568.602131637475 52024 173477.874   3.036683   0.997282
0158 58568.602131896667 52024 195872.014   2.823059   1.003304
0159 58568.602132158070 52024 218457.262   2.977770   1.000560
0160 58568.602132371874 52024 236929.929   2.800568   0.999347
0161 58568.602132620610 52024 258420.710   2.937248   0.997067
0162 58568.602132890417 52024 281732.040   3.198632   1.002272
0163 58568.602133097746 52024 299645.214   2.869391   0.997078
0164 58568.602133364016 52024 322651.024   2.856552   0.999414
0165 58568.602133571665 52024 340591.859   2.828001   1.000037
0166 58568.602133810367 52024 361215.741   3.333625   0.997298
0167 58568.602134064698 52024 383189.948   3.227408   0.999589
0168 58568.602134299916 52024 403512.711   3.270136   1.000633
0169 58568.602134602836 52024 429684.994   2.797894   1.002679
0170 58568.602134807821 52024 447395.746   3.022191   1.000149
0171 58568.602135074398 52024 470427.958   2.853219   0.996274
0172 58568.602135354377 52024 494618.131   2.820381   1.000433
0173 58568.602135617133 52024 517320.306   3.461038   1.000197
0174 58568.602135885973 52024 540548.027   3.043158   1.004167
0175 58568.602136159272 52024 564161.105   3.018922   1.001801
0176 58568.602136408932 52024 585731.723   3.230575   0.999365
0177 58568.602136683010 52024 609412.067   2.763445   1.000201
0178 58568.602136907706 52024 628825.812   2.857375   0.999185
0179 58568.602137105394 52024 645906.035   2.779796   1.002196
0180 58568.602137321599 52024 664586.154   2.866962   1.004217
0181 58568.602137523390 52024 682020.932   3.020724   0.999430
0182 58568.602137748654 52024 701483.711   2.620118   1.005122
0183 58568.602137943555 52024 718323.164   3.076046   0.997265
0184 58568.602138109898 52024 732695.194   2.839161   0.997500
0185 58568.602138324284 52024 751218.152   2.691276   0.997772
0186 58568.602138541966 52024 770025.886   2.641608   1.003727
0187 58568.602138776689 52024 790305.900   2.680090   1.004315
0188 58568.602139068229 52024 815494.986   2.875979   1.003278
0189 58568.602139299306 52024 835460.051   3.127061   0.997560
0190 58568.602139589908 52024 860568.042   2.874561   0.997477
0191 58568.602139851617 52024 883179.693   2.615135   1.003460
0192 58568.602140132178 52024 907420.157   2.607838   0.997109
0193 58568.602140339826 52024 925360.992   2.624669   0.999213
0194 58568.602140553157 52024 943792.797   2.519684   1.004454
0195 58568.602140776689 52024 963105.959   2.541386   0.996224
0196 58568.602140960604 52024 978996.161   2.928059   1.001439
0197 58568.602141209063 52025    463.054   2.626722   0.996563
0198 58568.602141417410 52025  18464.238   2.772547   0.999764
0199 58568.602141623538 52025  36273.687   2.687973   0.999801
0200 58568.602141838157 52025  54816.762   2.591817   0.999067
0201 58568.602142065014 52025  74417.214   2.556035   0.997422
0202 58568.602142336502 52025  97873.760   2.592038   0.998704
0203 58568.602142545373 52025 115920.207   2.503210   0.994106
0204 58568.602142740427 52025 132772.862   2.656312   0.996537
0205 58568.602142976415 52025 153162.261   2.533299   0.992609
0206 58568.602143175427 52025 170356.897   2.944818   1.001095
0207 58568.602143393531 52025 189201.091   2.520512   1.000307
0208 58568.602143592630 52025 206403.271   2.825722   1.003150
0209 58568.602143822398 52025 226255.180   2.793990   0.994512
0210 58568.602144070443 52025 247686.240   2.774977   0.996756
0211 58568.602144259734 52025 264041.009   2.878416   1.000214
0212 58568.602144475160 52025 282653.864   2.540819   1.004485
0213 58568.602144692486 52025 301430.793   2.514297   0.993971
0214 58568.602144873192 52025 317043.765   2.847453   1.001011
0215 58568.602145040553 52025 331503.805   3.231766   0.998273
0216 58568.602145266042 52025 350986.072   2.649274   0.998305
0217 58568.602145440105 52025 366025.092   2.691850   1.000286
0218 58568.602145613499 52025 381006.277   2.798800   1.000240
0219 58568.602145829711 52025 399687.025   2.504753   0.998331
0220 58568.602146012556 52025 415484.817   2.591240   0.998533
0221 58568.602146203979 52025 432023.779   2.876755   0.998134
0222 58568.602146384292 52025 447602.803   2.611366   0.994474
0223 58568.602146564801 52025 463198.801   2.645228   0.999868
0224 58568.602146778612 52025 481672.096   2.748234   1.004796
0225 58568.602147061261 52025 506092.981   2.513868   0.997779
0226 58568.602147292186 52025 526044.844   2.681945   1.005099
0227 58568.602147543752 52025 547780.166   2.570809   1.006525
0228 58568.602147758378 52025 566323.870   2.613600   1.001313
0229 58568.602147971411 52025 584729.901   2.589457   1.003362
0230 58568.602148226964 52025 606809.719   2.622512   1.004211
0231 58568.602148475773 52025 628306.787   2.523800   1.003414
0232 58568.602148728707 52025 650160.294   2.520470   0.999108
0233 58568.602148966376 52025 670694.909   2.500880   1.005606
